phrase,meaning,example
Devil’s advocate,To argue the opposite point for debate's sake.,I’m playing devil’s advocate here.
Don’t look a gift horse in the mouth,Don’t be critical of a gift.,Be grateful—don’t look a gift horse in the mouth.
Draw a blank,To fail to recall or find information.,I drew a blank when asked about her name.
Drop in,To visit unexpectedly.,I might drop in to see you after work.
Drop out of,"To withdraw from something, especially school.",He dropped out of college last semester.
Eat into,To use up or diminish.,Unexpected costs are eating into our budget.
Fall back,To retreat or withdraw.,Troops were ordered to fall back at dawn.
Fall for,To fall in love or be tricked.,She fell for his sweet words.
Fall in with,To agree with or follow others’ opinions.,He quickly fell in with the new team’s methods.
Fall off,To decrease.,Sales fell off after the holiday season.
Fall on/upon someone,To attack fiercely or unexpectedly.,The dogs fell on the intruder without warning.
Fell out,To have a disagreement.,They fell out after a heated argument.
Fold up,To collapse or fail.,The company folded up after years of losses.
Hand over,To give or transfer something.,She handed over the documents to the lawyer.
Head off,To prevent something.,Quick action headed off a major crisis.
Hold out,To resist or last.,The team held out against the pressure.
Hold up,To delay or rob.,The storm held up the flight for hours.
Hype up,To exaggerate or overly promote.,The ad campaign hyped up the product’s benefits.
Join up,To enlist in the military.,He joined up right after graduation.
Keep at,To continue working.,Keep at the report—almost finished.
Keep down,To repress or prevent something.,"Try to keep down the noise, please."
Keep in with,To remain friendly with someone.,She keeps in with management at all costs.
Keep on at,To talk persistently in an annoying way.,Stop keeping on at me about my grades.
Keep to,To follow or stick to (rules or plans).,Please keep to the agreed schedule.
Keep up with,To move at the same speed or stay informed.,It’s hard to keep up with technology.
Lay bare,To reveal or expose.,The audit laid bare the flaws in the system.
Lay low,To avoid attention or stay out of sight.,He’s laying low until the rumors pass.
Let slip,To accidentally reveal something.,She let slip my secret plans to the group.
Play hardball,To use aggressive tactics to get what you want.,The lawyer played hardball in the negotiations.
Play second fiddle,To be in a subordinate position.,He hated playing second fiddle to his rival.
Pour oil on troubled waters,To calm a difficult situation.,Her kind words poured oil on troubled waters.
Practice what you preach,To act according to your stated beliefs.,"If he expects punctuality, he should practice what he preaches."
Pull a fast one,To cheat or trick someone.,The scammer tried to pull a fast one on customers.
Pull the rug out from under,To suddenly take away support.,His resignation pulled the rug out from under the team.
Put a sock in it,To tell someone to be quiet.,"He was being loud, so I told him to put a sock in it."
Put your money where your mouth is,Back up words with actions or investment.,She finally put her money where her mouth is and volunteered.
Raise eyebrows,To shock or surprise.,His wild story raised eyebrows in the office.
Read the tea leaves,To predict what will happen.,Political analysts read the tea leaves after the speech.
Rest on laurels,To stop trying after success.,"After winning, he rested on his laurels."
Ride out the storm,To endure a difficult period.,The company will ride out the storm and recover.
Rock the boat,To upset the status quo.,Don’t rock the boat with sudden changes.
Roll out the red carpet,To give special treatment.,The hotel rolled out the red carpet for celebrity guests.
Rub salt in the wound,To make a bad situation worse.,Losing the match rubbed salt in the wound.
Rule of thumb,A general principle or guideline.,A good rule of thumb is to save 10% of your income.
Run a tight ship,To manage something strictly and efficiently.,The coach runs a tight ship during training.
Run on empty,To operate without resources or energy.,She was running on empty after the long trip.
Save for a rainy day,To save money for future difficulties.,Always save for a rainy day.
Say uncle,To admit defeat.,"After hours of wrestling, he finally said uncle."
Scale back,To reduce the size or scope.,We need to scale back the project’s budget.
Scratch the surface,To deal with only a small part of something.,We only scratched the surface of the problem.
Seal the deal,To finalize an agreement.,They shook hands to seal the deal.
See eye to eye,To agree completely.,We don’t always see eye to eye on management decisions.
Set in stone,Fixed and unable to change.,The deadline is set in stone—no extensions.
Set the bar,To establish a standard or level.,Her success set the bar for future employees.
Shake up,To disrupt or make significant changes.,The new manager plans to shake up the department.
Shoot from the hip,To speak or act without thinking.,He tends to shoot from the hip during meetings.
Show one’s true colors,To reveal what someone is really like.,He showed his true colors when he lied.
Sink one’s teeth into,To get involved in something enthusiastically.,She sank her teeth into the new project.
Sit on the fence,To avoid making a decision.,He’s still sitting on the fence about relocating.
Skeleton crew,The minimum number of people needed for a task.,We had a skeleton crew during the holidays.
Slice of the pie,A share of something.,He wants a slice of the pie from the new business.
Smell something fishy,To suspect something is wrong.,I smelled something fishy about the deal.
Snowed under,Overwhelmed by work.,I’m snowed under with emails today.
Sour grapes,Pretending to not want something you can't have.,"She said the job was boring, but it’s just sour grapes."
Spill the beans,To reveal a secret.,Don’t spill the beans about his plans.
Split hairs,To make fine or unnecessary distinctions.,Let’s not split hairs over minor details.
Spread like wildfire,To quickly become known or popular.,The rumor spread like wildfire.
Stand the test of time,To remain valuable or useful through the years.,The classic novel has stood the test of time.
Start from scratch,To begin again with nothing.,"After the fire, they started their business from scratch."
Steal the show,To attract all the attention.,Her performance stole the show.
Stick out like a sore thumb,To be very noticeable.,His neon shirt stuck out like a sore thumb.
Take a back seat,To let someone else lead or be in control.,She took a back seat in the new company.
Take sides,To support one group in a dispute.,I don’t want to take sides in their argument.
Talk turkey,To discuss something realistically and directly.,Let’s talk turkey about the budget.
Throw cold water,To discourage enthusiasm.,His criticism threw cold water on the idea.
Throw in the towel,To give up or stop trying.,"After two failed attempts, she threw in the towel."
Tie the knot,To get married.,They finally decided to tie the knot last weekend.
Touch base,To make contact and quickly communicate.,Let’s touch base tomorrow about the project.
Turn a blind eye,To ignore something intentionally.,He turned a blind eye to the rule-breaking.
Turn over a new leaf,To start behaving in a better way.,"After the holidays, she turned over a new leaf."
Up in arms,To be very angry or actively protesting.,Parents are up in arms about the school changes.
Up in the air,Uncertain or undecided.,Our travel plans are still up in the air.
Under one’s belt,Acquired experience or achievement.,"With several awards under her belt, she was confident."
Under the table,"Secretly, usually dishonestly.",He was paid under the table for extra work.
Up to scratch,Meeting the required standard.,Your report isn’t up to scratch.
Upset the apple cart,To cause trouble and complicate things.,Don’t upset the apple cart with new demands.
Variety is the spice of life,Experiencing new things makes life more interesting.,He loves trying new hobbies—variety is the spice of life.
Wait for the other shoe to drop,Expecting another bad event to happen.,"After the layoffs, we’re waiting for the other shoe to drop."
Walk on air,To feel extremely happy.,She was walking on air after her promotion.
Walk the talk,To support what you say with actions.,"If you want respect, walk the talk."
Wet blanket,Someone who ruins others’ fun.,Don’t be a wet blanket—join the party.
Wild goose chase,Hopeless or meaningless pursuit.,Looking for the old files was a wild goose chase.
Win hands down,To win easily.,Our team won hands down in the finals.
Word of mouth,Reputation or information spread through conversation.,Our restaurant is busy thanks to word of mouth.
Work against the clock,To be pressed for time.,We’re working against the clock to finish on time.
Work wonders,To cause great improvements.,The new manager worked wonders for morale.
Worth one’s salt,Good at one’s job or deserving respect.,Any teacher worth their salt prepares daily lessons.
Wouldn’t touch with a bargepole,To refuse to associate with or get involved.,I wouldn’t touch that deal with a bargepole.
You can’t judge a book by its cover,Can’t judge someone by their appearance only.,"He may seem shy, but you can’t judge a book by its cover."
Zip your lip,To stop talking or be quiet.,Zip your lip about the secret meeting.
Zero hour,The scheduled time to begin action.,It’s zero hour for the big launch.
A blessing in disguise,Something good that appears bad initially.,Losing the job was a blessing in disguise.
A dime a dozen,Very common and not special.,Cheap souvenirs are a dime a dozen in tourist towns.
Above board,Honest and open.,All our business deals are above board.
Across the board,Affecting everyone or everything.,The company gave an across-the-board pay raise.
Add fuel to the fire,To make a bad situation worse.,Spreading gossip added fuel to the fire.
Against all odds,Despite difficulty and near-impossibility.,She succeeded against all odds.
All in the same boat,Sharing the same situation.,We’re all in the same boat after lost funding.
At the end of one’s rope,Out of options or patience.,She was at the end of her rope with the noisy neighbor.
Back to the drawing board,Plan must be started over after failure.,The solution didn’t work—back to the drawing board.
Bark up the wrong tree,To pursue the wrong option or person.,"If you blame me, you’re barking up the wrong tree."
Beat around the bush,To avoid talking about the main issue.,Stop beating around the bush and tell me.
Behind closed doors,In private or secretly.,All decisions were made behind closed doors.
Better late than never,Doing something late is better than not at all.,"He sent the application late, but it’s better late than never."
Bite your tongue,To refrain from speaking.,She bit her tongue to avoid an argument.
Call it a day,To stop working for the day.,Let’s call it a day and head home.
Pull someone’s leg,To tease or joke with someone.,He’s just pulling your leg; don’t take him seriously.
Put all your eggs in one basket,To risk everything on one venture.,Investing all your savings in one stock is putting all your eggs in one basket.
Put the cart before the horse,To do things in the wrong order.,Planning the party before booking a venue is putting the cart before the horse.
Put your foot in your mouth,To say something embarrassing.,He put his foot in his mouth at the meeting.
Rain on someone’s parade,To spoil someone’s plans or fun.,"I don’t mean to rain on your parade, but your idea might not work."
Raise the roof,To make a lot of noise or excitement.,The crowd raised the roof at the concert.
Read between the lines,To find the hidden meaning.,Read between the lines in her message.
Red herring,Information intended to mislead or distract.,His excuse about traffic was a red herring.
Roll up one’s sleeves,To prepare to work hard.,Let’s roll up our sleeves and finish the task.
Rotten apple,Someone who creates problems in a group.,One rotten apple can spoil the whole team.
Rub elbows,To associate with important people.,She rubbed elbows with celebrities at the gala.
Rule of thumb,A basic guideline or general principle.,A good rule of thumb is to review your work twice.
Run in the family,A trait or habit that is common among family members.,Artistic talent runs in the family.
Salt of the earth,A very good and honest person.,The volunteers are the salt of the earth.
Save face,To avoid embarrassment.,He apologized to save face after the error.
See eye to eye,To agree fully.,We rarely see eye to eye at work.
Show one’s true colors,To reveal what someone is really like.,He showed his true colors under stress.
Sit tight,To wait patiently without taking action.,Sit tight until the results are announced.
Skeleton in the closet,A hidden secret that could cause embarrassment.,Most families have a skeleton in the closet.
Sleep on it,To postpone making a decision until the next day.,I need to sleep on it before deciding.
Smell a rat,To suspect something is wrong or dishonest.,She smelled a rat about his story.
Spill the beans,To reveal secret information.,Don’t spill the beans about the surprise.
Split hairs,To make small and unnecessary distinctions.,Stop splitting hairs and make a choice.
Stand one’s ground,To refuse to move or compromise.,She stood her ground during the debate.
Step up to the plate,To take responsibility for something.,Someone needs to step up to the plate and lead.
Stir up a hornet’s nest,To create trouble or controversy.,His comments stirred up a hornet’s nest.
Swallow one’s pride,To do something humiliating but necessary.,He swallowed his pride and asked for help.
Take a leaf out of someone’s book,To imitate someone’s actions or methods.,She took a leaf out of his book and started jogging.
Take the bull by the horns,To face a difficult situation directly.,Take the bull by the horns and solve the issue.
Take the cake,To be the most remarkable or excellent.,Her creative idea really takes the cake.
Taste of one’s own medicine,Receiving the same treatment one has given others.,The strict manager got a taste of his own medicine.
The ball is in your court,It’s your turn to take action.,The ball is in your court now—call back soon.
The elephant in the room,An obvious problem no one discusses.,The company’s losses are the elephant in the room.
Throw caution to the wind,To act without worrying about risks.,She threw caution to the wind and invested.
Throw in the towel,To give up or admit defeat.,He threw in the towel after repeated setbacks.
Tie up loose ends,To finish any minor remaining tasks.,Let’s tie up loose ends before the holidays.
Toe the line,To follow the rules.,Good employees toe the line.
Touch and go,Uncertain or risky.,The recovery was touch and go for a few days.
Turn a blind eye,To ignore an issue deliberately.,Management turned a blind eye to the complaints.
Turn the tables,To reverse a situation to your advantage.,He turned the tables in the negotiation.
Under the weather,Feeling sick or unwell.,"I’m under the weather, so I’ll stay home."
Up in arms,Protesting or angry.,The neighborhood is up in arms about the noise.
Upset the apple cart,To create trouble or disrupt plans.,Don’t upset the apple cart with last-minute changes.
Variety is the spice of life,Diversity makes life interesting.,Trying new hobbies shows variety is the spice of life.
Game of chicken,"A contest to see who will back down first, usually describing risky behavior.",Their negotiation turned into a game of chicken.
Get a charley horse,To develop a cramp in a muscle.,I got a charley horse during my run.
Get a word in edgewise,To manage to speak while someone else is talking a lot.,She talks non-stop—hard to get a word in edgewise.
Get bent out of shape,Become angry or upset.,Don’t get bent out of shape over a small mistake.
Get carried away,To become overly enthusiastic.,He got carried away during his speech and spoke for two hours.
Get in on the ground floor,To join or invest at an early stage.,She got in on the ground floor of that tech startup.
Get in shape,To become physically fit through exercise.,"After months at the gym, he finally got in shape."
Get off scot-free,To avoid punishment for a wrongdoing.,They got off scot-free after breaking the rules.
Get one’s ducks in a row,To organize things properly.,Finish your applications and get your ducks in a row.
Go off the deep end,To suddenly get very angry or act irrationally.,He went off the deep end after hearing about the changes.
Go off the rails,To behave strangely or fail at something.,"After losing his job, he went off the rails for a while."
Go out on a limb,To do or say something risky.,She went out on a limb to defend her unpopular opinion.
Go pear-shaped,To go wrong or fail.,The project went pear-shaped after the funding ended.
Go see a man about a dog,"To go to the bathroom, said as a euphemism.","Excuse me, I need to go see a man about a dog."
Go to the dogs,To decline or become disordered.,The neighborhood went to the dogs after the factory closed.
Go to the mattresses,To prepare for conflict or battle.,The unions went to the mattresses during negotiations.
In the red,Losing money or below a specified level.,"After the loss, the company is in the red."
Jump through hoops,To go through many obstacles to achieve something.,You have to jump through hoops to get a permit.
Love at first sight,Instant romantic attraction.,"For them, it was love at first sight."
March to the beat of your own drum,"To do things in one’s own way, regardless of others.",She always marched to the beat of her own drum at work.
Make a beeline for,Head directly toward something or someone.,He made a beeline for the food at the party.
Make waves,Cause trouble or disturb the status quo.,Her suggestions made waves in the department.
Needle in a haystack,Something extremely difficult to find.,Finding my keys in the sand was like a needle in a haystack.
New kid on the block,Someone new to a place or organization.,"As the new kid on the block, he was eager to impress."
No strings attached,Without conditions or restrictions.,The donation came with no strings attached.
Not my cup of tea,Not something one likes or is interested in.,Watching horror movies is not my cup of tea.
Off one’s rocker,Acting crazy or irrationally.,You must be off your rocker to quit that job.
Off the record,Not intended for public announcement.,The reporter asked for details off the record.
On a roll,Having a series of successes.,The team is on a roll this season.
On thin ice,In a risky or unstable position.,"After the mistake, he was on thin ice with his boss."
Out of left field,Unexpected or surprising.,Her idea was out of left field but interesting.
Out of one’s depth,Engaged in something too difficult.,He was out of his depth in the advanced class.
Paddle one’s own canoe,To be independent.,"After college, she paddled her own canoe and moved abroad."
Pass the buck,Shift responsibility to another person.,He passed the buck to his assistant.
Play it by ear,Adapt as circumstances change.,"With no plan, we’ll play it by ear."
Pull a rabbit out of the hat,To produce a surprising or impressive solution.,The manager pulled a rabbit out of the hat to save the deal.
Put a damper on,To cause disappointment or lessen enthusiasm.,The rain put a damper on our picnic plans.
Read someone the riot act,To warn or reprimand strongly.,The principal read the riot act to noisy students.
Shoot oneself in the foot,To damage one’s own cause by a foolish action.,"By insulting the client, he shot himself in the foot."
Sift through,To examine information or items carefully.,The analyst sifted through data to find trends.
Smell blood,To sense weakness and prepare to attack.,The competitors smelled blood after our loss.
Spill one’s guts,"To reveal everything, especially secrets.",He spilled his guts about the job troubles.
Sweep under the rug,To hide something undesirable.,The company swept the errors under the rug.
Take it with a grain of salt,To view something with skepticism.,Take his story with a grain of salt.
Throw in one’s lot with,To join someone or a group for success or failure.,She threw in her lot with the start-up.
Weather the storm,To survive a difficult situation.,The company weathered the storm of criticism.
Wear many hats,To have several different roles or jobs.,"As a founder, she wears many hats every day."
Whistle in the dark,To try to remain positive in a worrying situation.,He’s whistling in the dark about the company’s future.
Whole nine yards,Everything possible or available.,She decorated the house with the whole nine yards for the party.
Wild card,An unpredictable or unknown factor.,The new hire is a wild card—no one knows her strengths yet.
Word on the street,What people are saying informally or as gossip.,The word on the street is we may get bonuses.
Work one’s fingers to the bone,To work extremely hard.,He worked his fingers to the bone to get promoted.
Work your way up,To advance gradually in status or position.,She worked her way up from intern to manager.
Worth its weight in gold,Extremely valuable.,Her advice is worth its weight in gold.
"You scratch my back, I’ll scratch yours","If you help me, I’ll help you.","The deal is—you scratch my back, I’ll scratch yours."
Ace in the hole,A hidden advantage or resource.,His experience is his ace in the hole for the job.
Air your dirty laundry,To talk about private issues publicly.,Their argument aired a lot of dirty laundry.
All bark and no bite,Threatening but not dangerous.,"He complains, but he’s all bark and no bite."
At wit’s end,Completely puzzled or frustrated.,"After more problems, she was at her wit’s end."
Back to square one,To start over again.,The failed design means we’re back to square one.
Beat the odds,To succeed despite difficulty or low probability.,He beat the odds to recover from illness.
Beggars can’t be choosers,"When you don’t have much, you accept what’s offered.","In this job market, beggars can’t be choosers."
Behind the eight ball,In unlucky or difficult circumstances.,"Without help, he’s behind the eight ball."
Bend over backwards,To make extra effort to help.,She bent over backwards to give the team what they needed.
Better safe than sorry,Caution is better than risk.,Take your umbrella—better safe than sorry.
Big fish in a small pond,Someone important in a small group.,He’s a big fish in a small pond at that company.
Bite off more than you can chew,Accepting more responsibility than can be handled.,She bit off more than she could chew with five projects.
Bite your lip,To stop yourself from speaking.,He bit his lip to keep quiet.
"Blood, sweat, and tears",Great effort and sacrifice.,"This product took blood, sweat, and tears to create."
Blow off steam,To release pent-up emotion or energy.,Jogging helps me blow off steam after work.
Break the ice,To relieve tension in a social setting.,Her joke broke the ice at the meeting.
Bring home the bacon,To earn a living.,He’s bringing home the bacon as a freelance writer.
Burn the midnight oil,To work late into the night.,She burned the midnight oil to finish the thesis.
By the skin of your teeth,Barely succeed.,He passed the exam by the skin of his teeth.
Caught between a rock and a hard place,Faced with two tough choices.,She was caught between a rock and a hard place—change jobs or move cities.
Chase your tail,Waste time doing lots without progress.,I’ve been chasing my tail with paperwork all week.
Close but no cigar,"Almost succeeding, but not quite.",Getting second place was close but no cigar.
Cold shoulder,To ignore or show indifference.,"After the fight, he got the cold shoulder."
Come out swinging,Begin strongly and aggressively.,The team came out swinging in the first round.
Crack of dawn,Very early in the morning.,They left for the airport at the crack of dawn.
Cut to the chase,Get to the point with no delay.,Let’s cut to the chase: did we win the contract?
Devil’s advocate,To argue an opposing viewpoint.,I’ll play devil’s advocate in this debate.
Down to the wire,At the last possible moment.,The project was finished down to the wire.
Draw a line in the sand,To set a specific limit.,The manager drew a line in the sand on overtime hours.
Face the music,Accept consequences or criticism.,He faced the music after missing deadlines.
For crying out loud,An exclamation for frustration or disbelief.,"For crying out loud, finish your homework!"
Get your act together,Become organized and effective.,You need to get your act together to succeed.
Get the show on the road,To begin an activity or journey.,Let’s get the show on the road and start rehearsing.
Give someone the cold shoulder,To ignore or treat someone unkindly.,She gave him the cold shoulder at the party.
Go for broke,To risk everything for a big reward.,They went for broke and invested all their savings.
Go the extra mile,To do more than what is necessary.,The team always goes the extra mile to satisfy clients.
Grab the bull by the horns,To face a problem directly and confidently.,It’s time to grab the bull by the horns and solve the issue.
Hang in there,To not give up despite difficulties.,"Hang in there, things will get better."
Have an axe to grind,To have a personal complaint or ulterior motive.,He’s criticizing the policy because he has an axe to grind.
Hit below the belt,"To act unfairly or cruelly, especially in an argument.",His comment about her appearance was hitting below the belt.
Hit the nail on the head,To say something exactly right.,Your analysis hit the nail on the head.
In a pickle,In a difficult or troublesome situation.,I lost my ticket—now I’m in a pickle.
In the blink of an eye,Very quickly or instantly.,The car disappeared in the blink of an eye.
In the same boat,In the same difficult situation as others.,We’re all in the same boat after the layoffs.
Jump on the bandwagon,To join others in something popular or successful.,Many companies jumped on the remote work bandwagon.
Keep a straight face,"To not show emotion, especially when amusing or surprising.",It was hard to keep a straight face during his joke.
Keep your chin up,To remain cheerful and positive.,Keep your chin up through tough times.
Know something inside out,To know something extremely well.,She knows the software inside out.
Lay down the law,To assert authority by setting rules.,The coach laid down the law about discipline.
Leave no stone unturned,To try every possible way to achieve something.,The detectives left no stone unturned looking for clues.
Let the cat out of the bag,To reveal a secret by mistake.,He let the cat out of the bag about the surprise party.
Miss the boat,To miss an opportunity.,"If you don’t apply now, you’ll miss the boat."
Paint the town red,To go out and celebrate.,"After graduation, they painted the town red."
Pass the buck,To shift responsibility to someone else.,The manager tried to pass the buck.
Pay the piper,To face consequences of actions.,"After ignoring the warnings, it’s time to pay the piper."
Play it by ear,"To act without a plan, improvising as you go.","We don’t know the details, so let’s play it by ear."
Put all your eggs in one basket,To risk everything on one opportunity.,Don’t put all your eggs in one basket with investments.
Read between the lines,To understand something not stated directly.,Read between the lines of the announcement.
Read the riot act,To give a strong warning or reprimand.,The teacher read the riot act to the noisy students.
Rock the boat,To cause trouble or disturb a situation.,He didn’t want to rock the boat at work.
Roll with the punches,To adapt to adversity.,We have to roll with the punches and move forward.
Scratch the surface,To deal with only a small part of a problem.,We’ve only scratched the surface with this data.
Shoot the breeze,To talk informally or chat.,Let’s have coffee and shoot the breeze.
Sink or swim,To succeed or fail without help.,New hires are left to sink or swim.
Sleep on it,To wait before making a decision.,Don’t decide now—sleep on it first.
Smell a rat,To suspect something is wrong.,"If his story changes, I smell a rat."
Spill the beans,To reveal secret information.,She spilled the beans about my birthday plans.
Steal someone’s thunder,To take credit for another’s idea.,He stole my thunder by announcing my project.
Storm in a teacup,An exaggerated small problem.,Their argument was just a storm in a teacup.
Take someone under your wing,To look after and mentor a person.,The experienced worker took the intern under his wing.
The apple doesn’t fall far from the tree,Children resemble their parents.,"Like her mother, the apple doesn’t fall far from the tree."
Throw caution to the wind,To act without considering risk.,He threw caution to the wind and quit his job.
Tighten one’s belt,To live on less money or restrict spending.,We’ll need to tighten our belts until the market improves.
Up in arms,Angry or actively protesting.,Teachers are up in arms over new testing.
With flying colors,To do something extremely well.,She passed the exam with flying colors.
