rule,explanation,example
Use of 'Neither' for Negative Agreement,Use 'neither' to agree with negative statements.,I don’t like it. Neither do I.
Use of Verbs Followed by Gerunds or Infinitives,Some verbs are followed by either gerund or infinitive with a change in meaning.,I stopped smoking. / I stopped to smoke.
Use of Modal Verbs with Perfect Infinitives for Past Actions,"Express past possibilities, obligations, or deductions.",She must have left early.
Use of 'So That' with Modal Verbs,Indicate purpose using 'so that' plus modal verbs.,Speak clearly so that everyone can understand.
Use of Reported Speech Changes with Tense,Shift tenses back when reporting statements in the past.,He said he was tired.
Use of 'Whose' in Possessive Relative Clauses,Show possession or association with 'whose'.,The man whose car was stolen reported to police.
Use of Prepositions with Time and Place,"Use 'at' for specific times, 'on' for days, 'in' for months and years.",The meeting is at 3 PM. / I was born on Monday.
Use of Direct and Indirect Objects with Verbs,Verbs often take two objects: a direct object and an indirect object.,She gave him a gift.
Use of Past Continuous for Interrupted Actions,Past continuous shows an ongoing action interrupted by another.,I was reading when the phone rang.
Use of Expressions of Frequency with Adverbs,"Place adverbs of frequency before main verbs, after 'to be'.",He often travels. / She is usually busy.
Use of Sentence Fragments in Informal Speech,Sentence fragments can be used informally for effect.,No way! / Sounds good.
Use of Emphatic Negative Statements,Use negative contractions with emphasis for strong denial.,I definitely don’t agree.
Use of Reflexive Pronouns for Emphasis,Reflexive pronouns emphasize the subject performing the action.,I baked the cake myself.
Use of Article Use with Proper Nouns,Most proper nouns do not require an article unless part of a title or description.,Mount Everest is tall. / The United States is large.
Use of Comparatives and Superlatives with Irregular Forms,Many adjectives have irregular comparative and superlative forms.,"Good, better, best."
Use of Adverbial Clauses of Time,"Use 'when', 'while', 'as soon as' to indicate time relationships.",Call me when you arrive.
Use of 'Rather Than' to Express Preferences,Show preference for one choice over another.,I’d rather stay home than go out.
Use of Modal Verbs for Expressing Ability,Use 'can' and 'could' for present and past abilities.,I can swim. / I could read when I was five.
Use of Passive Voice with Modal Perfect,Express past possibility or necessity in passive voice with modals.,The documents must have been signed before noon.
Use of Emphatic Structures with Auxiliary 'Do',Use 'do' for emphasis in positive present or past simple sentences.,I do want to visit Paris.
Use of 'As If' with Present and Past Tenses,Describe unreal or imagined situations using appropriate tenses.,He acts as if he owns the place. / She spoke as if she had seen a ghost.
Use of 'Whether' in Indirect Questions,Introduce alternatives or doubt in indirect questions with 'whether'.,I don’t know whether he will come.
Use of Question Tags with Imperatives,Soften commands by adding question tags.,"Close the window, will you?"
Use of Subjunctive Mood in Formal Statements,Use base verb form in certain formal expressions or after specific verbs.,It's essential that she be informed.
Use of Phrasal Verbs with Multiple Meanings,Phrasal verbs can have various meanings depending on context.,She looked up the word. / Things are looking up.
Use of 'By' for Deadline Expressions,Use 'by' to indicate a deadline or the latest time for an action.,Finish the report by Friday.
Use of Discourse Markers to Organize Speech,Words or phrases that manage flow of conversation or text.,"Well, let’s begin. / Anyway, that’s the plan."
Use of 'Each' and 'Every' with Countable Nouns,Each' refers to individual items; 'every' to all members of a group.,Each student has a book. / Every student passed the exam.
Use of Double Object Verbs,Verbs that take both direct and indirect objects without prepositions.,She gave me a gift.
Use of 'No' with Countable and Uncountable Nouns,No' negates existence or amount of nouns.,There are no apples left. / There is no milk in the fridge.
Use of Compound Subjects with Singular and Plural Verbs,Verb form depends on whether compound subjects are plural or considered singular.,Bread and butter is my favorite. / Jack and Jill are here.
Use of 'So' + Verb + Subject for Emphasis,Invert verb and subject after 'so' for emphasis.,So happy was she that she cried.
Use of Reported Speech with Time Object Shifts,Shift expressions of time when reporting past speech.,Today became that day.
Use of 'In Order To' for Expressing Purpose,Formal phrase for indicating purpose similar to 'to'.,He studies in order to pass the exam.
Use of 'Such As' for Giving Examples,Introduce examples within a sentence.,Fruits such as apples and bananas are healthy.
Use of 'Less' for Uncountable Quantities,Use 'less' with uncountable nouns to describe smaller amounts.,There is less sugar in this recipe.
Use of Negative Imperatives,Form commands telling someone not to do something.,Don’t open the door.
Use of Cleft Sentences for Focus,Emphasize a part of the sentence using a cleft structure.,It was John who won the prize.
Use of Alliteration for Stylistic Effect,Repetition of initial consonant sounds for emphasis or style.,Peter Piper picked a peck of pickled peppers.
Use of Prepositions with Adjectives,Certain adjectives require specific prepositions to complete their meaning.,She is afraid of spiders.
Use of Conditional Sentences with 'Supposing',Use 'supposing' to introduce conditions hypothetically.,"Supposing you won the lottery, what would you do?"
Use of 'Rather Than' to Show Preference,Express preference of one thing over another.,I prefer tea rather than coffee.
Use of Modal Verbs to Express Necessity,Use 'must' or 'have to' to express necessity.,You must wear a seatbelt.
Use of Comparative Structures with 'Much' and 'Far',Intensify comparatives with 'much' or 'far'.,She is much better now. He runs far faster than before.
Use of 'By the Time' for Time Clauses,Indicate that one action happens before another in the future or past.,"By the time he arrived, I had left."
Use of 'Wish' for Present and Past Regrets,Use 'wish' plus past or past perfect for regrets or desires.,I wish I knew the answer. / I wish I had studied harder.
Use of 'Enough' after Adjectives and Nouns,Enough' follows adjectives or precedes nouns to indicate sufficiency.,Are you old enough? / We have enough food.
Use of Presuppositions in Questions,Questions often imply certain facts or assumptions.,When did you arrive? (Presupposes arrival happened.)
Use of Reflexive Pronouns to Avoid Ambiguity,Use reflexives to clarify the subject performing an action.,He hurt himself.
Use of 'Too' for Excess or Negative Effect,Indicate excess leading to negative result.,The soup is too hot to eat.
Use of Future Perfect in Passive Voice,Describe future actions that will be completed by a specific time in passive.,The work will have been finished by then.
Use of 'Neither' to Agree with Negative Statements,Show agreement with negative statements.,I don’t like it. Neither do I.
Use of 'Such' with Countable and Uncountable Nouns,Use 'such' to emphasize quality with different noun types.,It was such a big event. / She has such patience.
Use of Simple Present for Facts and Habitual Actions,Use present simple tense for regular or factual actions.,The Earth revolves around the Sun.
Use of 'As Long As' in Conditions,Express condition or duration.,You can come as long as you behave.
Use of Discourse Markers for Contrast,"Words like 'however', 'on the other hand' show contrasting ideas.","I like coffee; however, I prefer tea."
Use of 'Because' for Cause,Introduce reason or cause in sentences.,She left because she was tired.
Use of Modals for Advice,Use 'should' or 'ought to' to give advice or recommendations.,You should see a doctor.
Use of 'Yet' as a Conjunction and Adverb,Connect clauses showing contrast or add meaning of 'until now'.,"It was a hard test, yet she passed. / I haven’t finished yet."
Use of Present Perfect for Unfinished Actions,Describe actions started in the past and continuing now.,I have lived here for five years.
Use of Past Perfect Passive for Earlier Actions,Express completed actions before another past action in passive voice.,The letter had been sent before she arrived.
Use of 'In Spite Of' and 'Despite' for Contrast,Show contradiction between clauses or phrases.,"Despite the rain, they went out."
Use of Parallel Structure in Lists,Use the same grammatical form in list elements for clarity.,"She likes swimming, hiking, and biking."
Use of 'Whichever' and 'Whatever' for Emphasis,Emphasize no matter which or what is chosen or happens.,Choose whichever you like best.
Use of Indirect Commands,Report commands politely with verbs like 'ask' or 'tell'.,He asked me to wait outside.
Use of Present Continuous for Temporary Actions,Use for actions happening around the current time but not permanent.,I am staying with a friend for a week.
Use of Modal Verbs for Probability in Past,"Use 'must have', 'might have', 'could have' to express past probability.",She must have missed the train.
Use of 'No Longer' to Indicate Cessation,Express that a situation or action has stopped continuing.,He no longer works here.
Use of 'By' in Passive Causative Constructions,Indicates the agent who performs an action in passive causative.,The house was painted by a professional.
Use of 'Only If' in Conditional Clauses,Express a necessary condition for something to happen.,You can go only if you finish your homework.
Use of 'Hardly' and 'Scarcely' with Inversion,Negative adverbs like 'hardly' cause inversion of subject and auxiliary in formal style.,Hardly had I arrived when it started to rain.
Use of 'As Well As' with Singular/Plural Verbs,As well as' connects items but verb agrees with the first subject.,"John, as well as his friends, is coming."
Use of Zero Article with Plural and Uncountable Nouns,No article used when referring to things in general plural or uncountable.,Cats are independent animals. / Water is essential.
Use of Comparisons with 'Much More' and 'Far Less',Intensify comparisons with 'much' or 'far' before comparatives.,She is much more talented now. / He is far less brave than before.
Use of 'It' as Dummy Subject,"Use 'it' to introduce weather, time, or general statements.",It is raining today.
Use of Relative Clauses with 'Which' and 'That',"That' for essential clauses; 'which' for non-essential, often comma-separated.","The book that you gave me is great. The book, which you gave me, is great."
Use of Interrogative Adjectives and Pronouns,"Words like 'which', 'what' modify nouns or act as pronouns in questions.",Which book do you want? What did he say?
Use of Modal Verbs for Permission and Requests,"Use 'may', 'can', 'could' for asking or giving permission politely.",May I leave early? / Could you help me?
Use of 'Enough' with Nouns and Verbs,Enough' modifies nouns when before them and adjectives or adverbs when after.,We had enough food. She is strong enough to lift it.
Use of Clauses of Purpose with 'So That',"Use 'so that' clauses to express purpose, often with modal verbs.",Speak clearly so that everyone can understand.
Use of Gerunds as Objects of Verbs,Some verbs require gerunds as their objects.,She enjoys singing.
Use of Subject and Object Pronouns,"Use subject pronouns for the subject of verbs, object pronouns for objects.",He likes her.
Use of Indefinite Pronouns and Agreement,"Indefinite pronouns may be singular or plural, affecting verb agreement.",Everyone is here. Some are missing.
Use of Present Perfect for Life Experiences without Specific Time,Express experiences at some indefinite time.,I have visited France.
Use of Future Perfect for Actions Before a Specific Future Date,Indicate actions that will be completed before a particular future time.,She will have finished by tomorrow.
Use of Present Perfect Continuous for Duration,Express actions continuing from past until now with focus on duration.,They have been working since morning.
Use of Passive Voice with Two Objects,"Some verbs in passive only take one object, usually direct.",The book was given to her.
Use of 'Such' with Nouns for Emphasis,Such' signifies strong emphasis on the noun's quality or degree.,It was such a beautiful day.
Use of 'Too' with Adjectives and Infinitives,Indicate excess of a quality making action impossible or undesirable.,The water is too cold to swim in.
Use of Future Continuous to Show Planned Actions,Actions that will be in progress at a future time.,I will be traveling at 5 PM.
Use of 'Would Rather' for Preferences,Express preferences between two or more options.,I would rather stay home tonight.
Use of Prepositions with Specific Verbs and Adjectives,Certain verbs and adjectives require specific prepositions to complete meaning.,Depend on me. / Interested in music.
Use of Adjective Word Order before Nouns,"Adjectives follow specific order: quantity, opinion, size, age, shape, color, origin, material.",She has three lovely small old round wooden tables.
Use of Plural Form for Countable Nouns,Countable nouns are pluralized to indicate more than one.,Dogs bark loudly.
Use of Gerunds as Subjects and Objects,Verb forms ending in -ing can be used as subjects or objects.,Smoking is harmful. / I like swimming.
Use of Article 'The' with Unique Objects,Use 'the' with objects unique in their context.,The sun is bright today.
Use of Question Word Order in Yes/No Questions,Invert subject and auxiliary to form yes/no questions.,Are you ready?
Use of Negative Questions to Confirm Expectations,Negative questions used to affirm or doubt expectations.,Didn’t you call me?
Use of Conjunctions to Link Clauses,"Use coordinating (and, but, or) and subordinating (because, although) conjunctions to connect clauses.","I wanted to go, but I was tired."
Use of Past Continuous for Interrupted Actions,Past continuous describes ongoing past actions interrupted by shorter actions.,I was cooking when the phone rang.
Use of Passive Voice with Modal Verbs,Combine passive voice with modal auxiliaries to express necessity or possibility.,The work must be finished today.
Use of Infinitive for Purpose,Use 'to' + verb to indicate purpose or intention.,She studies to pass the exam.
Use of Cleft Sentences to Emphasize Information,Emphasize part of a sentence by placing it after 'it is/was'.,It is John who won the prize.
Use of Object Pronouns after Prepositions,Use object pronouns after prepositions.,Give the book to me.
Use of 'Whether Or Not' for Uncertainty,Indicate choice or inclusion of possibilities.,I will come whether or not you do.
Use of 'Since' for Time and Cause,Use 'since' to indicate starting point of time or cause.,"I have lived here since 2020. / Since you are here, let’s start."
Use of Zero Conditional for Universal Truths,Use present simple in both clauses to express facts that are always true.,"If you mix red and blue, you get purple."
Use of First Conditional for Real Future Situations,Use present simple in the 'if' clause and 'will' in the main clause for real possibilities.,"If it rains tomorrow, we will stay inside."
Use of Second Conditional for Unreal Present or Future,Use past simple in the 'if' clause and 'would' in the main clause for hypothetical situations.,"If I were rich, I would travel the world."
Use of Third Conditional for Unreal Past Situations,Use past perfect in the 'if' clause and 'would have' plus past participle for regrets.,"If she had studied, she would have passed the exam."
Use of Mixed Conditionals,Combine different conditional forms to express complex time relations.,"If I had taken the job, I would be living in London now."
Use of Emphatic Tag Questions with Positive Statements,Attach positive questions to affirmative statements for confirmation.,"You are coming, aren’t you?"
Use of Emphatic Tag Questions with Negative Statements,Attach negative questions to negative statements for confirmation.,"You aren’t late, are you?"
Use of Modal Verbs for Advice and Obligation,"Use 'should', 'must', 'have to' to give advice or express obligation.",You should see a doctor. / You must wear a seatbelt.
Use of 'As Soon As' for Immediate Future Actions,Indicate that one action will follow immediately after another.,I will call you as soon as I arrive.
Use of 'Unless' for Negative Conditions,Express condition meaning 'if not'.,I won’t go unless you come with me.
Use of Passive Voice for Emphasizing Action,Shift focus onto the action or receiver rather than the doer.,The cake was eaten by the children.
Use of Present Perfect Continuous for Ongoing Actions,Indicate actions started in the past and continuing to present.,She has been working here for five years.
Use of Question Tags with Commands,Soften commands by adding question tags.,"Close the door, will you?"
Use of Relative Pronouns in Defining vs Non-defining Clauses,"That' in defining clauses, 'which' in non-defining clauses with commas.","The book that you gave me is great. / The book, which you gave me, is great."
Use of 'Would Rather' to Express Preferences,Use for stating preference between options.,I would rather eat at home.
Use of Future Perfect for Action Completion,Express that an action will be completed before a specific future time.,"By next year, I will have graduated."
Use of 'So' + Adjective + That' for Cause and Effect,Express cause leading to a result.,He was so tired that he fell asleep immediately.
Use of Reported Speech Changes with Tenses,Tense shifts in reported speech depending on original tense.,She said she was going.
Use of 'Either...Or' and 'Neither...Nor',Connect two alternatives or negatives.,Either come now or later. Neither option is good.
Use of Comparative Adverbs with 'More' and 'Most',Form comparative and superlative of longer adverbs with 'more' and 'most'.,She works more efficiently than her sister.
Use of Emphatic Negative Answers,Use emphatic forms to strongly deny statements.,I do not like that.
Use of 'Such as' to Give Examples,Introduce examples within sentences.,"Many fruits, such as apples and oranges, are healthy."
Use of Prepositions in Fixed Expressions,Certain verbs and adjectives are followed by specific prepositions.,"Interested in art, good at math."
Use of 'Got' in Passive Constructions,Use 'get' as an informal alternative to 'be' in passive voice.,He got injured in the accident.
Use of Gerunds as Subjects and Objects,Verb forms ending in -ing can be used as subjects or objects.,Swimming is fun. / I enjoy swimming.
Use of Adjective Order Before Nouns,"Follow the order: quantity, opinion, size, age, shape, color, origin, material.",She wore a beautiful long red silk dress.
Use of Modal Verbs to Express Possibility,"May', 'might', 'could' express possibility of events.",It might rain later.
Use of Future Continuous to Describe Future Actions in Progress,Show actions that will be ongoing at a specific future time.,I will be traveling at this time tomorrow.
Use of Indirect Questions,Form questions within statements politely or indirectly.,Can you tell me where the station is?
Use of Passive Voice with Modal Verbs,Modal verbs can be used in passive voice for necessity or possibility.,The work must be finished by Monday.
Use of 'No One' and 'Nobody' as Indefinite Pronouns,Refer to no person in statements.,No one knows the answer.
Use of Prepositions with Time Expressions,"Use 'at' for times, 'on' for days/dates, 'in' for months/years.",The meeting is at 3 PM on Monday in June.
Use of Tag Questions with Pronoun Agreement,Tags match the subject in person and number.,"She’s here, isn’t she?"
Use of 'Though' and 'Although' for Contrast,Both introduce clauses showing contrast; 'although' is more formal.,"Although it was rainy, we went out."
Use of Past Continuous to Describe Background Actions,Show an ongoing past action interrupted by another.,I was reading when the phone rang.
Use of Conditionals with 'If Only' for Wishes,Express wishes contrary to reality in present or past.,If only I had more time.
Use of Direct and Indirect Objects with Verbs,"Verbs can take two objects, indirect and direct.",She gave me a gift.
Use of 'Much' and 'Many' with Uncountable and Countable Nouns,Much' with uncountables; 'Many' with countables.,There is much milk. / There are many cars.
Use of Emphatic Structures with 'Do',"Add emphasis with 'do', 'does', or 'did' in affirmative sentences.",I do want to come.
Use of 'Whether' for Choices in Indirect Questions,Present alternatives or uncertainty.,I wonder whether he will come.
Use of 'Rather Than' to Express Preference,Indicate preference for one option over another.,I prefer tea rather than coffee.
Use of 'Since' to Express Time and Cause,Indicate starting point or reason.,"I have lived here since 2015. / Since you are here, let’s start."
Use of Prepositional Phrases as Adjectives,Phrases that modify nouns often start with prepositions.,The man in the blue shirt is my uncle.
Use of Use of Comparatives with 'As...As',Show equality in comparison.,She is as tall as her brother.
Use of Modal Verbs in Present and Past Tenses,"Express ability, necessity, permission, or possibility in various tenses.",He can swim. / He could swim when young.
Use of 'Such as' to Introduce Examples,Introduce examples to clarify a statement.,"Many animals, such as lions and tigers, are carnivores."
Use of Passive Voice with Get,Informal passive voice uses 'get' instead of 'be'.,He got injured during the game.
Use of 'May' for Polite Suggestions and Permission,May' is used for politely asking or granting permission.,May I leave the room?
Use of 'Must' to Express Certainty,Express logical certainty or strong belief.,She must be at home by now.
Use of 'Will' for Future Predictions,Express future actions or events expected to happen.,It will rain tomorrow.
Use of 'Would' to Express Habitual Past Actions,Describe usual actions or habits in the past.,"When I was young, I would visit my grandparents often."
Use of Future Perfect Continuous,Show duration of an action that will be ongoing until a specific future time.,"By noon, I will have been working for five hours."
Use of 'Could' for Past Ability and Polite Requests,Express past skill or politely request action.,I could swim when I was five. / Could you help me?
Use of 'Shall' for Formal Suggestions and Offers,Mainly used in formal British English for suggestions or offers.,Shall we start the meeting?
Use of 'Should' for Advice and Expectation,Offer advice or indicate something likely.,You should try the new restaurant.
Use of 'Might' for Possibility,Express less certain possibility.,They might come to the party.
Use of 'May' vs 'Might' for Possibility,May' is slightly more formal or probable than 'might'.,She may arrive soon. / She might arrive late.
Use of 'Have to' vs 'Must' for Obligation,Must' for internal or strong obligation; 'Have to' for external or general rules.,I must finish this. / You have to wear a uniform.
Use of 'Used To' for Past Habits and States,Express past habits or conditions no longer true.,I used to play basketball.
Use of Passive Voice with Modals,Combine modals with passive voice to express necessity or possibility.,The documents must be signed today.
Use of 'Because of' and 'Due To' for Cause,Followed by nouns or noun phrases to express cause.,"The flight was delayed because of fog. / Due to rain, the game was canceled."
Use of 'Although' vs 'Though',Both express contrast; 'though' is less formal and can appear at sentence end.,"Although it was cold, we went out. / It was cold, though."
Use of Reported Questions with Modals,Modals like 'can' change to 'could' in reported speech.,He asked if he could join.
Use of 'Before' and 'After' in Time Clauses,Indicate order of events in time using these conjunctions.,"Finish your homework before you play. / After he left, she cried."
Use of 'Unless' for Negative Conditions,Express a condition that something will not happen if another thing is not true.,I won’t call unless necessary.
Use of Conditional Sentences with 'If Only',Express wishes or regrets about present or past.,If only I were taller. / If only I had studied harder.
Use of 'So...That' Clauses for Expressing Result,Use 'so' before adjective/adverb and 'that' to express result.,She was so happy that she cried.
Use of 'Such...That' Clauses with Nouns,Emphasize noun with 'such' leading to result.,It was such a lovely day that we stayed out all afternoon.
Use of Adjective Order with Multiple Adjectives,"Follow sequence: quantity, opinion, size, age, shape, color, origin, material.",She bought three beautiful small old round wooden boxes.
Use of 'Whether' in Indirect Speech,Express alternatives or choices in indirect questions or statements.,I don’t know whether he will come.
Use of Future Continuous for Polite Inquiries,Use to ask about ongoing actions at a future time politely.,Will you be using your car tomorrow?
Use of Pivot Verbs with Both Gerund and Infinitive,"Verbs like 'begin', 'continue' can take both with similar meaning.",She began to sing. / She began singing.
Use of Result Clauses with 'So That' for Intent,Express purpose or intent behind an action.,He spoke loudly so that everyone could hear.
Use of 'Rather' for Softening Statements,Use 'rather' to soften strong statements or preferences.,I’d rather not go tonight.
Use of Negative Imperatives with 'Don’t',Form negative commands with 'don’t' plus base verb.,Don’t touch that!
Use of Reflexive Pronouns for Emphasis,Reflexives emphasize the doer of the action.,I made this cake myself.
Use of 'Although' for Formal Written Contrast,Although' is preferred in formal contexts expressing contrast.,"Although the project was costly, it was successful."
Use of Inversion after Negative and Restrictive Adverbs,Invert auxiliary and subject for emphasis after words like 'never'.,Never have I seen such talent.
Use of Prepositions with Adjective Phrases,Certain adjectives require specific prepositions.,She is fond of music.
Use of Articles with Unique Items,Use definite article before unique things or concepts.,The sun rises in the east.
Use of Emphatic Auxiliary Verbs,Use auxiliary verbs to emphasize positive declarations.,I do understand your point.
Use of Conditional Sentences with Modal Verbs,Combine conditionals with modals like 'should' or 'would'.,"If you should need help, call me."
Use of Cleft Sentences for Emphasis,Restructure sentences to emphasize a particular element.,It was Mary who called last night.
Use of Quantifiers with Countable and Uncountable Nouns,Use correct quantifiers for noun types.,Many books / much information.
Use of Reported Speech for Commands and Requests,Use 'tell' or 'ask' plus infinitive in reported commands.,He told me to leave.
Use of Auxiliary Verbs in Yes/No Questions,Invert auxiliary verb and subject to form questions.,Are you ready?
Use of Modal Verbs for Polite Offers,"Use 'would', 'could' for polite offers or requests.",Would you like some tea?
"Use of Coordination Using 'And', 'But', 'Or'","Connect words, phrases or clauses with coordinating conjunctions.",She likes tea and coffee.
Use of Present Perfect vs Past Simple,Present perfect for past actions with relevance; past simple for completed past actions.,I have seen that movie. / I saw that movie yesterday.
Use of Present Perfect Simple vs Continuous,Present perfect simple describes completed actions; continuous emphasizes duration.,I have written three emails. / I have been writing emails all morning.
Use of 'Since' and 'For' in Perfect Tenses,"Since' refers to a point in time, 'for' refers to a duration.",She has lived here since 2010. / He has waited for hours.
Use of Causative 'Get' and 'Have' for Services,Get' and 'have' express causing someone else to perform an action.,I got my hair cut yesterday. / She had her car repaired.
Use of Modal Verbs to Express Probability and Deduction,"Modals like 'must', 'might', 'could' express certainty or doubt.",He must be home now. / She might have missed the bus.
Use of Expressing Regrets with 'Wish' + Past Perfect,Use this structure to express regrets about the past.,I wish I had studied harder.
Use of 'Would Rather' and 'Had Better' for Preferences and Advice,Would rather' expresses preference; 'had better' offers strong advice.,I would rather stay home tonight. / You had better see a doctor.
Use of Direct and Indirect Questions,Direct questions invert subject and auxiliary; indirect questions follow statement order.,Where are you going? / Can you tell me where you are going?
Use of 'Let' for Suggestions and Commands,Let' is used for making suggestions or polite commands.,Let’s go to the park. / Let him try.
Use of Negative Inversion for Emphasis,Invert subject and auxiliary after negative adverbs for emphasis.,Never have I seen such a beautiful sunset.
Use of 'Whether' and 'If' in Indirect Speech,Whether' introduces alternatives; 'if' introduces yes/no questions.,I wonder whether he will come. / She asked if I was ready.
Use of Gerunds after Prepositions,Gerunds follow prepositions in phrases.,She is interested in learning languages.
Use of Conditional Sentences with Modal Verbs,Combine conditions with modals to express advised or probable outcomes.,"If you should need help, call me."
Use of 'So' + Adjective + 'That' for Result Clauses,So' modifies adjectives to cause a result expressed after 'that'.,The soup was so hot that I couldn’t eat it.
Use of Articles with Proper Names and Titles,Proper names generally do not use articles unless specified.,Mount Everest is high. / The United States is large.
Use of Present Simple for Timetables and Schedules,Present simple describes events in the near future on timetables.,The train leaves at 9 AM.
Use of 'As Long As' in Conditions,Express conditions or durations with 'as long as'.,You can stay as long as you like.
Use of Present Continuous for Temporary Actions,Describe actions happening around the current time but limited in duration.,I am working on a project this week.
Use of Reported Speech with Modals,Change modals appropriately in reported speech.,He said he could help.
Use of 'Too' and 'Enough' for Quantity and Degree,Too' indicates excess; 'enough' indicates adequacy in degree or quantity.,The shirt is too small. / She is strong enough to lift it.
Use of Parallel Structure in Lists and Comparisons,Maintain the same grammatical form in list items or comparisons for clarity.,"She likes reading, writing, and swimming."
Use of Passive Structures for Emphasis,Turn active sentences passive to emphasize the object or action.,The letter was sent yesterday.
Use of Future Continuous for Polite Inquiries,Use to ask about plans or actions politely.,Will you be joining us for dinner?
Use of 'As Well As' to Add Information,Add information with 'as well as' without changing verb agreement.,"She, as well as her friends, is coming."
Use of Modal Perfect for Past Speculation,Express speculation about past events with modal + have + past participle.,He might have missed the appointment.
Use of Question Tags for Statements with Different Verbs,Question tags reflect auxiliary or modal verbs in original sentence.,"She can swim, can’t she?"
Use of 'Each Other' and 'One Another' for Reciprocity,Show mutual actions or relationships between people or things.,They helped each other with the work.
Use of 'By The Time' in Time Clauses,"Indicate actions completed before another event in past, present, or future.","By the time we arrived, the show had started."
"Use of Relative Clauses with 'Who', 'Whom', 'Whose'","Who' for subjects, 'whom' for objects, 'whose' for possession in clauses.",The man who called is here. / The woman whom I met is kind. / The girl whose bike was stolen.
Use of Infinitive of Purpose,Use 'to' + base verb to express purpose of an action.,I study to improve my skills.
Use of Future Perfect Continuous Passive,"Describe ongoing future action that will continue until a certain time, in passive voice.",The building will have been being constructed for two years.
Use of Subjunctive Mood in Type 2 and 3 Conditionals,Use base verb form after 'if' to express unreal conditions.,"If I were you, I would apologize."
Use of Prepositional Phrases as Adjectives,Phrases starting with prepositions can modify nouns.,The book on the table is mine.
"Use of 'Much', 'Many', 'A Lot Of' for Quantity",Use with appropriate noun types to express large quantities.,Much water / many cars / a lot of people.
Use of 'Like' and 'As' in Similes and Comparisons,"Like' compares nouns, 'as' introduces clauses.",She sings like a professional. / He works as his father does.
Use of Emphatic Negatives,Use 'do not' or contractions for strong negation.,I do not agree with that.
Use of Passive Voice in Instructions,Use passive to focus on the process or action in instructions.,The form should be completed carefully.
Use of 'May' and 'Might' for Possibility,May' and 'might' indicate possible but uncertain situations.,She may come to the party. / He might be late.
Use of 'Used To' for Past Habits,Express actions or states in the past that no longer happen.,I used to play tennis when I was a child.
Use of 'Be Going To' for Intentions,Express planned or intended future actions.,I am going to start a new job next month.
Use of Present Perfect for Unfinished Actions,Use present perfect with 'for'/'since' to describe ongoing actions.,They have lived here for ten years.
Use of Causative 'Make' in Active and Passive,Make' can express force or compulsion in active and passive forms.,She made him apologize. / He was made to apologize.
Use of Modal Verbs for Deduction,"Express logical conclusions using modals like 'must', 'can't', 'could'.",He must be the manager. / She can't be serious.
Use of Article 'The' with Unique Geographical Names,Use 'the' with certain geographical names like rivers and mountain ranges.,The Amazon River is vast.
Use of 'Neither' and 'Nor' in Negative Sentences,Join two negative elements to negate both.,Neither the teacher nor the students were present.
Use of 'As If' and 'As Though' with Past Perfect,Describe unreal past situations with these conjunctions.,He acted as if he had seen a ghost.
Use of Passive Voice with Reporting Verbs,Reporting verbs can be used in passive when the doer is unknown or irrelevant.,It was said that the event was cancelled.
Use of Conditional Sentences with Mixed Times,Use different time references in 'if' and main clauses.,"If I had studied, I would be successful now."
Use of Participle Clauses to Shorten Sentences,Use participles to combine clauses into concise sentences.,"Walking down the street, I met a friend."
Use of 'Whose' in Defining and Non-defining Clauses,Indicate possession for people or things with 'whose'.,The man whose car was stolen called the police.
Use of Relative Clauses with 'That' for Things,Use 'that' in defining relative clauses referring to things without commas.,The car that I bought is new.
Use of Reflexive Pronouns for Emphasis,Use reflexive pronouns to emphasize the subject doing the action.,I completed the task myself.
Use of 'Both...And' to Emphasize Similar Elements,Couple two elements for emphasis with plural verb agreement.,Both the cat and the dog are sleeping.
Use of Indefinite Pronouns as Singular and Plural,Some indefinite pronouns require singular verbs; some require plural.,Everyone is here. / Several are missing.
Use of Modal Perfect for Past Obligations,Express past necessity or advice not fulfilled.,You should have called me.
Use of Sentence Connectors for Contrast,"Use words like 'however', 'nevertheless' to contrast ideas.","The plan was good; however, it failed."
Use of Articles with Institutions,Use or omit articles depending on whether referring to the building or abstract concept.,He is at the university. / She values education.
Use of 'So' and 'Such' for Degree,So' modifies adjectives/adverbs; 'such' modifies nouns.,It's so cold. / It was such a big success.
Use of Future Perfect Continuous Passive,Describe ongoing actions in the future in passive voice.,The bridge will have been being built for two years by then.
Use of Modal Verbs for Advice in Past,Use modal perfect to express advice or criticism about the past.,You should have studied harder.
Use of Tag Questions with Auxiliary Verbs,The tag echoes the auxiliary/modal verb used in the statement.,"They can swim, can't they?"
Use of 'Whether Or Not' for Indicating Choice,Express that something will happen regardless of a condition.,I will attend whether or not he comes.
Use of Clauses of Time with 'Before' and 'After',Use 'before' and 'after' to show sequence of events in time.,Finish your work before you leave.
Use of 'By The Time' in Future Perfect Clauses,Indicate action completed before a certain future time.,"By the time you arrive, I will have left."
Use of Conditional Sentences for Hypothetical Advice,Use 'If I were you...' to give advice hypothetically.,"If I were you, I would apologize."
Use of 'So That' for Expressing Purpose,Express the reason or objective of an action.,She spoke clearly so that everyone could understand.
Use of Emphatic Statements with 'Do',Use 'do' for emphasis in affirmative sentences.,I do like that movie.
Use of Progressive Tenses for Temporary Actions,Indicate ongoing actions that are temporary.,I am living with my parents this month.
